entity_id,entity_type,stage_name_en,stage_name_ar,is_executable,is_runtime_operation,is_ordered_step,is_state,is_verdict,is_policy,is_registry,is_lge_stage,is_traceable,coverage_required,coverage_scope,source_file,source_symbol,pr_binding,outputs,failure_codes,notes_ar
SLOT_GRAPH,CORE_STRUCTURE,SlotGraph,الرسم البياني للخانات,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,CONSTRUCTION_VALIDATION,core/slot_graph.py,SlotGraph,PR-1A / PR-2,SlotGraph value,SlotGraphSchemaError,الحامل المركزي — center + slots + boundary + residuals + rank + output_boundary + generation_source
SLOT_STATE_EMPTY,STATE_ENUM,SlotState.EMPTY,حالة الخانة: فارغة,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,STATE_WITNESS,core/slot_graph.py,SlotState.EMPTY,PR-1A,,,الخانة لم تُملأ بعد — غير مانعة
SLOT_STATE_FILLED,STATE_ENUM,SlotState.FILLED,حالة الخانة: مملوءة,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,STATE_WITNESS,core/slot_graph.py,SlotState.FILLED,PR-1A,,,الخانة مملوءة — شرط للإغلاق الأدنى
SLOT_STATE_BROKEN,STATE_ENUM,SlotState.BROKEN,حالة الخانة: مكسورة,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,STATE_WITNESS,core/slot_graph.py,SlotState.BROKEN,PR-1A,,IDENTITY_BROKEN,خانة مكسورة — تُعيد Γ الخطوة 4 رفضًا فوريًا
LAYER_TEXT_ENTRY,STATE_ENUM,Layer.TEXT_ENTRY,طبقة: إدخال النص,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,STATE_WITNESS,core/slot_graph.py,Layer.TEXT_ENTRY,PR-1A,,,الطبقة 1 — نقطة الدخول
LAYER_SLOT,STATE_ENUM,Layer.SLOT,طبقة: الخانة,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,STATE_WITNESS,core/slot_graph.py,Layer.SLOT,PR-1A,,,الطبقة 2 — مستوى الخانة — المستخدمة فعليًا في جسر Hokom
LAYER_CANDIDATE,STATE_ENUM,Layer.CANDIDATE,طبقة: المرشح,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,STATE_WITNESS,core/slot_graph.py,Layer.CANDIDATE,PR-1A,,,الطبقة 3 — مستوى الترشيح
LAYER_CERTIFICATE,STATE_ENUM,Layer.CERTIFICATE,طبقة: الشهادة,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,STATE_WITNESS,core/slot_graph.py,Layer.CERTIFICATE,PR-1A,,,الطبقة 4 — تتطلب CertificationGate (محجوز لـ PR مستقبلي)
GEN_SOURCE_DECLARED,STATE_ENUM,GenerationSource.DECLARED_ENTRY,مصدر التوليد: الإدخال المُعلَن,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,STATE_WITNESS,core/slot_graph.py,GenerationSource.DECLARED_ENTRY,PR-1A,,,رسم بياني ناتج عن إدخال أوّلي مُعلَن
GEN_SOURCE_CANDIDATE,STATE_ENUM,GenerationSource.CANDIDATE,مصدر التوليد: المرشح,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,STATE_WITNESS,core/slot_graph.py,GenerationSource.CANDIDATE,PR-1A,,,رسم بياني ناتج عن مرشّح
GEN_SOURCE_TRANSITION,STATE_ENUM,GenerationSource.TRANSITION_VERDICT,مصدر التوليد: حكم الانتقال,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,STATE_WITNESS,core/slot_graph.py,GenerationSource.TRANSITION_VERDICT,PR-1A,,,رسم بياني ناتج عن حكم بوابة — الوحيد المُرخَّص لرتبة LICENSED+
GAMMA_STEP_1,ORDERED_DECISION_STEP,Γ Step 1 — Center/Identity,خطوة Γ 1 — المركز والهوية,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,GAMMA_BRANCH_COVERAGE,core/gamma.py,gamma,PR-2,GammaResult,CENTER_MISSING / IDENTITY_BROKEN,التحقق من وجود المركز وصحة الهوية — الإخفاق يُعيد INVALID
