slot_sort_value,slot_sort_name,slot_sort_name_ar,classification,corresponding_taaqol_stage_or_operation,source_evidence,executed_token_count,not_reached_token_count,skipped_token_count,entity_type,inflection_dependent,taaqol_layer_mapped,bridge_slot_name,state_source_regime,lge_runtime_applicable,coverage_status,notes_ar
0,SURFACE_IDENTITY,هوية السطح,HOKOM_NATIVE_LINGUISTIC_LAYER,slot_graph_construction (domain_claim field),pipeline/taaqol_integration/live/bridge.py — domain_claim built from surface analysis,129,0,0,HOKOM_LINGUISTIC_LAYER,FALSE,Layer.SLOT (via domain_claim),domain_claim (primary),SLOT_GRAPH_DERIVATION,N/A,REPRESENTED_YES / FULLY_EXECUTED,طبقة Hokom الأصيلة — تُغذّي domain_claim في SlotGraph. مُنفَّذة لكل 129 رمزًا.
10,NORMALIZATION,التطبيع,HOKOM_NATIVE_LINGUISTIC_LAYER,slot_graph_construction (domain_claim field),pipeline/taaqol_integration/live/bridge.py — normalized form fed into domain_claim,129,0,0,HOKOM_LINGUISTIC_LAYER,FALSE,Layer.SLOT (via domain_claim),via domain_claim,SLOT_GRAPH_DERIVATION,N/A,REPRESENTED_YES / FULLY_EXECUTED,طبقة Hokom الأصيلة — التطبيع اليونيكودي يُمرَّر ضمن domain_claim. مُنفَّذة لكل 129 رمزًا.
20,PHONOLOGICAL,الصوتي,HOKOM_NATIVE_LINGUISTIC_LAYER,NONE — no corresponding Taaqol stage or operation,pipeline/sga/contracts.py SlotSort.PHONOLOGICAL=20; LGE C1 surface families exist but NOT used by bridge,0,129,0,HOKOM_LINGUISTIC_LAYER,FALSE,N/A (LGE C1 defined but not used by bridge),N/A,N/A,C1 (LGE — not used by bridge),REPRESENTED_YES / NOT_EXECUTED,طبقة Hokom الأصيلة — لا مرحلة Taaqol مقابلة. LGE-C1 موجود لكن الجسر لا يستخدمه. layer_state=NOT_REACHED لكل 129 رمزًا.
30,SEGMENTATION,التقطيع,HOKOM_NATIVE_LINGUISTIC_LAYER,slot_graph_construction (domain_claim field),pipeline/taaqol_integration/live/bridge.py — segmentation result feeds domain_claim,129,0,0,HOKOM_LINGUISTIC_LAYER,FALSE,Layer.SLOT (via domain_claim),via domain_claim,SLOT_GRAPH_DERIVATION,N/A,REPRESENTED_YES / FULLY_EXECUTED,طبقة Hokom الأصيلة — نتيجة التقطيع تُغذّي domain_claim. مُنفَّذة لكل 129 رمزًا.
35,ARTICLE,التعريف,HOKOM_NATIVE_LINGUISTIC_LAYER,slot_graph_construction (domain_claim field),pipeline/taaqol_integration/live/bridge.py — article detection embedded in surface normalization,0,129,0,HOKOM_LINGUISTIC_LAYER,FALSE,Layer.SLOT (via domain_claim),via domain_claim,SLOT_GRAPH_DERIVATION,N/A,REPRESENTED_YES / NOT_EXECUTED,طبقة Hokom الأصيلة — layer_state=NOT_REACHED لكل 129 رمزًا. بيانات أل التعريف موجودة ضمن domain_claim لكن الطبقة لم تُسجَّل مُنفَّذة.
40,BOUNDARY,الحدّ,BRIDGE_PROJECTION,slot_graph_construction (SlotBoundary field),vendor/Taaqol-GPT/.../slot_graph.py SlotGraph.boundary: SlotBoundary; bridge.py constructs SlotBoundary explicitly,129,0,0,BRIDGE_PROJECTION_LAYER,FALSE,Layer.SLOT — SlotBoundary field,SlotBoundary,SLOT_GRAPH_DERIVATION,N/A,REPRESENTED_YES / FULLY_EXECUTED,إسقاط الجسر — SlotBoundary هو حقل في SlotGraph (Taaqol). الجسر يبني SlotBoundary صراحةً. مُنفَّذة لكل 129 رمزًا.
50,LEXICAL_FUNCTIONAL,المعجمي-الوظيفي,HOKOM_NATIVE_LINGUISTIC_LAYER,slot_graph_construction (domain_claim field),pipeline/sga/contracts.py SlotSort.LEXICAL_FUNCTIONAL=50; LGE C2 exists but not used by bridge,0,129,0,HOKOM_LINGUISTIC_LAYER,FALSE,Layer.SLOT (via domain_claim — partial),via domain_claim,SLOT_GRAPH_DERIVATION,C2 (LGE — not used by bridge),REPRESENTED_YES / NOT_EXECUTED,طبقة Hokom الأصيلة — layer_state=NOT_REACHED لكل 129 رمزًا. LGE-C2 متاح لكن الجسر لا يستخدمه.
60,WORD_CLASS,فئة الكلمة,BRIDGE_PROJECTION,slot_graph_construction (word_class_claim optional slot),bridge.py — word_class_claim built from SGA word_class field and added as optional slot,108,21,0,BRIDGE_PROJECTION_LAYER,FALSE,Layer.SLOT — word_class_claim optional slot,word_class_claim,SLOT_GRAPH_DERIVATION,N/A,REPRESENTED_YES / PARTIALLY_EXECUTED,إسقاط الجسر — word_class_claim خانة اختيارية في SlotGraph. مُضافة لـ 108 رموز؛ 21 رمزًا بلا word_class من SGA.
70,INFLECTIONAL,الصرفي,BRIDGE_PROJECTION,slot_graph_construction (sga_typed_slots → SlotGraph slots),bridge.py — inflection data from SGA typed_slots mapped to SlotGraph; CONTRACT_DERIVATION when inflection_skipped,0,33,96,BRIDGE_PROJECTION_LAYER,TRUE,Layer.SLOT — sga_typed_slots,sga_typed_slots,SLOT_GRAPH_DERIVATION or CONTRACT_DERIVATION,C4 (LGE — not used by bridge),REPRESENTED_YES / NOT_EXECUTED,إسقاط الجسر — يعتمد على الإعراب. 96 رمزًا مُتَخطّاة بعقد inflection_skipped. 33 رمزًا لم تصل. layer_state=EXECUTED=0.
80,RADICAL,الجذري,BRIDGE_PROJECTION,slot_graph_construction (sga_radical_r1/r2/r3 → SlotGraph slots),bridge.py — R1/R2/R3 from SGA typed_slots added explicitly to SlotGraph when available,37,16,76,BRIDGE_PROJECTION_LAYER,TRUE,Layer.SLOT — sga_radical_r1/r2/r3,sga_radical_r1 / sga_radical_r2 / sga_radical_r3,SLOT_GRAPH_DERIVATION or CONTRACT_DERIVATION,C1 JAMID/DERIVED (not used by bridge),REPRESENTED_YES / PARTIALLY_EXECUTED,إسقاط الجسر — R1/R2/R3 تُضاف صراحةً من SGA typed_slots. مُنفَّذة لـ 37 رمزًا. 76 مُتَخطّاة بالعقد.
